"CAMPAIGN_PERFORMANCE_REPORT #57ecc1a41a55d (Jul 1, 2016-Sep 29, 2016)"
Campaign ID,Day,Campaign,Search Impr. share,Clicks,Impressions,Cost,Conversions,Conv. rate,Cost / conv.,CTR,Avg. position,Total conv. value,Day of week,Hour of day
75862466,2016-07-02,Lakes Cottage,90.62%,4,29,4170000,0.0,0.00%,0,13.79%,1.2,0.0,Saturday,13
75862466,2016-07-03,Lakes Cottage,84.78%,6,39,6430000,0.0,0.00%,0,15.38%,1.5,0.0,Sunday,10
210165626,2016-07-04,RFSA- Top Converting Keywords,98.41%,10,62,9120000,0.0,0.00%,0,16.13%,1.4,0.0,Monday,22
210165626,2016-07-05,RFSA- Top Converting Keywords,95.65%,4,22,3480000,0.0,0.00%,0,18.18%,1.5,0.0,Tuesday,8
210165626,2016-07-06,RFSA- Top Converting Keywords,95.12%,9,39,8100000,0.0,0.00%,0,23.08%,1.2,0.0,Wednesday,14
75862466,2016-07-08,Lakes Cottage,94.74%,0,18,0,0.0,0.00%,0,0.00%,1.3,0.0,Friday,0
210165626,2016-07-09,RFSA- Top Converting Keywords,100.00%,0,1,0,0.0,0.00%,0,0.00%,3.0,0.0,Saturday,3
75862466,2016-07-10,Lakes Cottage,100.00%,14,62,13340000,0.0,0.00%,0,22.58%,1.1,0.0,Sunday,17
210165626,2016-07-12,RFSA- Top Converting Keywords,100.00%,18,62,15690000,0.0,0.00%,0,29.03%,1.2,0.0,Tuesday,18
212145026,2016-07-12,Eden Valley New,100.00%,0,4,0,0.0,0.00%,0,0.00%,2.0,0.0,Tuesday,21
75862466,2016-07-14,Lakes Cottage,< 10%,0,0,0,0.0,0.00%,0,0.00%,0.0,0.0,Thursday,23
210165626,2016-07-14,RFSA- Top Converting Keywords,100.00%,6,36,4280000,0.0,0.00%,0,16.67%,1.2,0.0,Thursday,18
212145026,2016-07-16,Eden Valley New,100.00%,0,1,0,0.0,0.00%,0,0.00%,3.0,0.0,Saturday,8
75862466,2016-07-20,Lakes Cottage,96.15%,5,50,1930000,1.0,20.00%,1930000,10.00%,1.3,1.0,Wednesday,19
75862466,2016-07-22,Lakes Cottage,97.14%,7,34,4700000,1.0,14.29%,4700000,20.59%,1.3,1.0,Friday,10
210165626,2016-07-22,RFSA- Top Converting Keywords,90.91%,13,50,7720000,0.0,0.00%,0,26.00%,1.3,0.0,Friday,16
210165626,2016-07-22,RFSA- Top Converting Keywords,96.00%,9,48,4380000,0.0,0.00%,0,18.75%,1.6,0.0,Friday,21
210165626,2016-07-24,RFSA- Top Converting Keywords,100.00%,2,5,840000,0.0,0.00%,0,40.00%,1.0,0.0,Sunday,2
75862466,2016-07-25,Lakes Cottage,92.86%,10,78,7660000,0.0,0.00%,0,12.82%,1.5,0.0,Monday,16
75862466,2016-07-27,Lakes Cottage,96.55%,7,56,5010000,0.0,0.00%,0,12.50%,1.5,0.0,Wednesday,13
210165626,2016-07-27,RFSA- Top Converting Keywords,100.00%,6,20,4660000,0.0,0.00%,0,30.00%,1.3,0.0,Wednesday,23
210165626,2016-07-28,RFSA- Top Converting Keywords,95.83%,7,23,4530000,0.0,0.00%,0,30.43%,1.6,0.0,Thursday,23
75862466,2016-07-30,Lakes Cottage,100.00%,0,4,0,0.0,0.00%,0,0.00%,2.5,0.0,Saturday,4
210165626,2016-07-30,RFSA- Top Converting Keywords,100.00%,13,57,6470000,0.0,0.00%,0,22.81%,1.5,0.0,Saturday,22
210165626,2016-08-01,RFSA- Top Converting Keywords,98.41%,13,62,6580000,0.0,0.00%,0,20.97%,1.7,0.0,Monday,22
75862466,2016-08-02,Lakes Cottage,93.18%,15,82,9470000,0.0,0.00%,0,18.29%,1.3,0.0,Tuesday,21
75862466,2016-08-04,Lakes Cottage,88.24%,2,15,1350000,0.0,0.00%,0,13.33%,1.5,0.0,Thursday,1
75862466,2016-08-05,Lakes Cottage,85.71%,0,6,0,0.0,0.00%,0,0.00%,1.8,0.0,Friday,4
210165626,2016-08-05,RFSA- Top Converting Keywords,100.00%,5,31,2010000,0.0,0.00%,0,16.13%,1.6,0.0,Friday,22
75862466,2016-08-08,Lakes Cottage,100.00%,0,6,0,0.0,0.00%,0,0.00%,1.7,0.0,Monday,4
212145026,2016-08-10,Eden Valley New,100.00%,0,5,0,0.0,0.00%,0,0.00%,1.8,0.0,Wednesday,15
75862466,2016-09-23,Lakes Cottage,83.72%,13,36,7540000,0.0,0.00%,0,36.11%,2.4,0.0,Friday,13
75862466,2016-09-23,Lakes Cottage,71.43%,8,35,5370000,0.0,0.00%,0,22.86%,1.5,0.0,Friday,17
212145026,2016-09-23,Eden Valley New,66.67%,0,6,0,0.0,0.00%,0,0.00%,2.7,0.0,Friday,16
75862466,2016-09-24,Lakes Cottage,88.00%,6,22,2960000,0.0,0.00%,0,27.27%,1.7,0.0,Saturday,14
210165626,2016-09-26,RFSA- Top Converting Keywords,90.91%,5,30,3140000,2.0,40.00%,1570000,16.67%,2.0,2.0,Monday,17
212145026,2016-09-26,Eden Valley New,83.33%,0,5,0,0.0,0.00%,0,0.00%,3.0,0.0,Monday,14
210165626,2016-09-27,RFSA- Top Converting Keywords,100.00%,0,4,0,0.0,0.00%,0,0.00%,2.3,0.0,Tuesday,0
75862466,2016-09-29,Lakes Cottage, --,0,3,0,0.0,0.00%,0,0.00%,1.7,0.0,Thursday,0
75862466,2016-09-29,Lakes Cottage, --,0,4,0,0.0,0.00%,0,0.00%,4.0,0.0,Thursday,3
212145026,2016-08-11,Eden Valley New,90.00%,1,9,300000,0.0,0.00%,0,11.11%,2.0,0.0,Thursday,15
75862466,2016-08-12,Lakes Cottage,86.84%,5,33,4610000,0.0,0.00%,0,15.15%,1.6,0.0,Friday,8
210165626,2016-08-14,RFSA- Top Converting Keywords,98.04%,13,50,6190000,0.0,0.00%,0,26.00%,1.6,0.0,Sunday,17
212145026,2016-08-14,Eden Valley New,100.00%,0,1,0,0.0,0.00%,0,0.00%,2.0,0.0,Sunday,16
212145026,2016-08-16,Eden Valley New,100.00%,0,2,0,0.0,0.00%,0,0.00%,1.0,0.0,Tuesday,14
212145026,2016-08-19,Eden Valley New,50.00%,0,1,0,0.0,0.00%,0,0.00%,1.0,0.0,Friday,8
75862466,2016-08-22,Lakes Cottage,93.06%,17,67,8370000,0.0,0.00%,0,25.37%,1.5,0.0,Monday,20
212145026,2016-08-23,Eden Valley New,100.00%,0,1,0,0.0,0.00%,0,0.00%,2.0,0.0,Tuesday,1
75862466,2016-08-24,Lakes Cottage,75.00%,1,6,330000,0.0,0.00%,0,16.67%,2.2,0.0,Wednesday,3
210165626,2016-08-25,RFSA- Top Converting Keywords,66.67%,0,2,0,0.0,0.00%,0,0.00%,2.5,0.0,Thursday,6
210165626,2016-08-25,RFSA- Top Converting Keywords,100.00%,3,23,1700000,0.0,0.00%,0,13.04%,1.6,0.0,Thursday,19
210165626,2016-08-26,RFSA- Top Converting Keywords,93.75%,4,15,2440000,0.0,0.00%,0,26.67%,1.8,0.0,Friday,11
75862466,2016-08-27,Lakes Cottage,100.00%,1,2,370000,0.0,0.00%,0,50.00%,2.0,0.0,Saturday,4
75862466,2016-08-27,Lakes Cottage,88.89%,6,40,4630000,0.0,0.00%,0,15.00%,1.8,0.0,Saturday,18
210165626,2016-08-27,RFSA- Top Converting Keywords,100.00%,3,23,1910000,0.0,0.00%,0,13.04%,2.0,0.0,Saturday,18
212145026,2016-08-29,Eden Valley New,100.00%,1,8,400000,0.0,0.00%,0,12.50%,1.5,0.0,Monday,10
212145026,2016-08-29,Eden Valley New,77.78%,0,7,0,0.0,0.00%,0,0.00%,1.7,0.0,Monday,17
210165626,2016-08-31,RFSA- Top Converting Keywords,100.00%,0,1,0,0.0,0.00%,0,0.00%,1.0,0.0,Wednesday,3
212145026,2016-09-03,Eden Valley New,100.00%,0,1,0,0.0,0.00%,0,0.00%,3.0,0.0,Saturday,6
212145026,2016-09-03,Eden Valley New,100.00%,1,11,190000,0.0,0.00%,0,9.09%,2.1,0.0,Saturday,16
210165626,2016-09-05,RFSA- Top Converting Keywords,96.88%,6,31,4360000,0.0,0.00%,0,19.35%,2.2,0.0,Monday,9
212145026,2016-09-05,Eden Valley New,88.89%,1,8,270000,0.0,0.00%,0,12.50%,2.5,0.0,Monday,20
210165626,2016-09-06,RFSA- Top Converting Keywords,100.00%,4,24,2140000,0.0,0.00%,0,16.67%,2.3,0.0,Tuesday,16
210165626,2016-09-07,RFSA- Top Converting Keywords,100.00%,6,36,3470000,0.0,0.00%,0,16.67%,2.5,0.0,Wednesday,14
75862466,2016-09-08,Lakes Cottage,100.00%,0,7,0,0.0,0.00%,0,0.00%,1.9,0.0,Thursday,3
75862466,2016-09-09,Lakes Cottage,74.29%,4,26,1840000,0.0,0.00%,0,15.38%,1.7,0.0,Friday,13
210165626,2016-09-09,RFSA- Top Converting Keywords,100.00%,5,29,1980000,0.0,0.00%,0,17.24%,2.3,0.0,Friday,14
75862466,2016-09-10,Lakes Cottage,65.52%,2,19,910000,0.0,0.00%,0,10.53%,1.9,0.0,Saturday,14
210165626,2016-09-12,RFSA- Top Converting Keywords,86.36%,5,19,2920000,0.0,0.00%,0,26.32%,2.0,0.0,Monday,9
75862466,2016-09-13,Lakes Cottage,83.33%,5,45,1830000,0.0,0.00%,0,11.11%,1.6,0.0,Tuesday,21
210165626,2016-09-13,RFSA- Top Converting Keywords,97.92%,11,47,6380000,0.0,0.00%,0,23.40%,1.8,0.0,Tuesday,21
212145026,2016-07-01,Eden Valley New,100.00%,1,3,560000,0.0,0.00%,0,33.33%,1.7,0.0,Friday,21
210165626,2016-07-02,RFSA- Top Converting Keywords,98.46%,10,64,9410000,0.0,0.00%,0,15.62%,1.4,0.0,Saturday,20
210165626,2016-07-03,RFSA- Top Converting Keywords,100.00%,13,69,10600000,0.0,0.00%,0,18.84%,1.3,0.0,Sunday,16
75862466,2016-07-08,Lakes Cottage,100.00%,3,22,3850000,0.0,0.00%,0,13.64%,1.4,0.0,Friday,7
210165626,2016-07-08,RFSA- Top Converting Keywords,96.49%,10,55,6860000,0.0,0.00%,0,18.18%,1.4,0.0,Friday,21
212145026,2016-07-08,Eden Valley New,100.00%,1,1,410000,0.0,0.00%,0,100.00%,2.0,0.0,Friday,16
210165626,2016-07-09,RFSA- Top Converting Keywords,96.30%,6,26,5910000,0.0,0.00%,0,23.08%,1.4,0.0,Saturday,11
