"ACCOUNT_PERFORMANCE_REPORT #57f499b198f2f (Aug 1, 2016-Oct 5, 2016)"
Account,Conversions,Cost,Customer ID,Day
Lakes Cottage Holidays,16.0,1038590000,2570035894,2016-10-02
Lakes Cottage Holidays,13.0,680710000,2570035894,2016-09-28
Lakes Cottage Holidays,9.0,736580000,2570035894,2016-09-30
Lakes Cottage Holidays,12.0,1006030000,2570035894,2016-09-26
Lakes Cottage Holidays,25.0,1353990000,2570035894,2016-08-03
Lakes Cottage Holidays,16.0,726240000,2570035894,2016-08-27
Lakes Cottage Holidays,12.0,1300900000,2570035894,2016-08-08
Lakes Cottage Holidays,9.0,1388130000,2570035894,2016-08-07
Lakes Cottage Holidays,16.0,826370000,2570035894,2016-08-28
Lakes Cottage Holidays,11.0,731400000,2570035894,2016-09-15
Lakes Cottage Holidays,15.0,1621910000,2570035894,2016-08-01
Lakes Cottage Holidays,11.0,734790000,2570035894,2016-09-06
Lakes Cottage Holidays,9.0,777180000,2570035894,2016-08-30
Lakes Cottage Holidays,15.0,760970000,2570035894,2016-08-12
Lakes Cottage Holidays,21.0,933870000,2570035894,2016-08-22
Lakes Cottage Holidays,25.0,922780000,2570035894,2016-09-19
Lakes Cottage Holidays,18.0,722450000,2570035894,2016-09-10
Lakes Cottage Holidays,10.0,1082790000,2570035894,2016-08-21
Lakes Cottage Holidays,14.0,609930000,2570035894,2016-09-07
Lakes Cottage Holidays,12.0,836720000,2570035894,2016-09-12
Lakes Cottage Holidays,8.0,808800000,2570035894,2016-09-29
Lakes Cottage Holidays,16.0,1085700000,2570035894,2016-10-03
Lakes Cottage Holidays,9.0,724040000,2570035894,2016-09-24
Lakes Cottage Holidays,9.0,576160000,2570035894,2016-09-02
Lakes Cottage Holidays,13.0,989560000,2570035894,2016-08-10
Lakes Cottage Holidays,7.0,888300000,2570035894,2016-08-20
Lakes Cottage Holidays,9.0,660900000,2570035894,2016-09-16
Lakes Cottage Holidays,19.0,898490000,2570035894,2016-08-13
Lakes Cottage Holidays,9.0,885330000,2570035894,2016-09-27
Lakes Cottage Holidays,20.0,870890000,2570035894,2016-09-04
Lakes Cottage Holidays,19.0,721570000,2570035894,2016-09-01
Lakes Cottage Holidays,18.0,1159740000,2570035894,2016-08-09
Lakes Cottage Holidays,8.0,1145180000,2570035894,2016-09-25
Lakes Cottage Holidays,16.0,813380000,2570035894,2016-08-17
Lakes Cottage Holidays,17.0,1485960000,2570035894,2016-08-02
Lakes Cottage Holidays,22.0,843320000,2570035894,2016-08-23
Lakes Cottage Holidays,11.0,789330000,2570035894,2016-08-19
Lakes Cottage Holidays,10.0,842570000,2570035894,2016-09-11
Lakes Cottage Holidays,7.0,775400000,2570035894,2016-09-22
Lakes Cottage Holidays,8.0,537350000,2570035894,2016-09-09
Lakes Cottage Holidays,0.0,54790000,2570035894,2016-10-05
Lakes Cottage Holidays,11.0,730030000,2570035894,2016-09-17
Lakes Cottage Holidays,13.0,669010000,2570035894,2016-09-14
Lakes Cottage Holidays,5.0,658420000,2570035894,2016-08-31
Lakes Cottage Holidays,13.0,817380000,2570035894,2016-09-05
Lakes Cottage Holidays,16.0,972040000,2570035894,2016-10-01
Lakes Cottage Holidays,14.0,725510000,2570035894,2016-09-03
Lakes Cottage Holidays,9.0,775680000,2570035894,2016-09-21
Lakes Cottage Holidays,12.0,674680000,2570035894,2016-08-24
Lakes Cottage Holidays,13.0,1015100000,2570035894,2016-08-15
Lakes Cottage Holidays,12.0,1210120000,2570035894,2016-08-04
Lakes Cottage Holidays,13.0,847320000,2570035894,2016-08-29
Lakes Cottage Holidays,8.0,640550000,2570035894,2016-09-23
Lakes Cottage Holidays,15.0,784990000,2570035894,2016-09-13
Lakes Cottage Holidays,9.0,893150000,2570035894,2016-09-18
Lakes Cottage Holidays,6.0,939640000,2570035894,2016-08-05
Lakes Cottage Holidays,11.0,566020000,2570035894,2016-08-26
Lakes Cottage Holidays,13.0,766860000,2570035894,2016-08-25
Lakes Cottage Holidays,11.0,909750000,2570035894,2016-10-04
Lakes Cottage Holidays,7.0,695910000,2570035894,2016-09-08
Lakes Cottage Holidays,14.0,907570000,2570035894,2016-09-20
Lakes Cottage Holidays,14.0,1033610000,2570035894,2016-08-11
Lakes Cottage Holidays,12.0,911550000,2570035894,2016-08-06
Lakes Cottage Holidays,20.0,1208360000,2570035894,2016-08-14
Lakes Cottage Holidays,13.0,868800000,2570035894,2016-08-16
Lakes Cottage Holidays,18.0,896090000,2570035894,2016-08-18
Total,846.0,57467230000, --, --
