"ACCOUNT_PERFORMANCE_REPORT #57f499b547041 (Aug 1, 2016-Oct 5, 2016)"
Account,Conversions,Cost,Customer ID,Day
Momentum Driving School,42.0,200310000,7394147621,2016-10-04
Momentum Driving School,35.0,120210000,7394147621,2016-08-01
Momentum Driving School,37.0,117780000,7394147621,2016-08-02
Momentum Driving School,28.0,114090000,7394147621,2016-08-04
Momentum Driving School,14.0,79730000,7394147621,2016-08-07
Momentum Driving School,40.0,129520000,7394147621,2016-08-09
Momentum Driving School,44.0,202260000,7394147621,2016-08-11
Momentum Driving School,44.0,207010000,7394147621,2016-08-15
Momentum Driving School,36.0,208440000,7394147621,2016-08-16
Momentum Driving School,45.0,204880000,7394147621,2016-08-17
Momentum Driving School,47.0,202000000,7394147621,2016-08-18
Momentum Driving School,33.0,150600000,7394147621,2016-08-20
Momentum Driving School,41.0,197380000,7394147621,2016-08-25
Momentum Driving School,37.0,155850000,7394147621,2016-08-26
Momentum Driving School,25.0,117760000,7394147621,2016-08-27
Momentum Driving School,16.0,123230000,7394147621,2016-08-28
Momentum Driving School,53.0,203620000,7394147621,2016-08-31
Momentum Driving School,38.0,164400000,7394147621,2016-09-01
Momentum Driving School,40.0,198970000,7394147621,2016-09-07
Momentum Driving School,36.0,186020000,7394147621,2016-09-08
Momentum Driving School,35.0,138930000,7394147621,2016-09-11
Momentum Driving School,45.0,204600000,7394147621,2016-09-13
Momentum Driving School,52.0,200290000,7394147621,2016-09-14
Momentum Driving School,41.0,207190000,7394147621,2016-09-19
Momentum Driving School,23.0,121420000,7394147621,2016-09-24
Momentum Driving School,29.0,146240000,7394147621,2016-09-25
Momentum Driving School,27.0,166750000,7394147621,2016-09-29
Momentum Driving School,22.0,116500000,7394147621,2016-08-03
Momentum Driving School,18.0,79930000,7394147621,2016-08-05
Momentum Driving School,12.0,71870000,7394147621,2016-08-06
Momentum Driving School,43.0,209920000,7394147621,2016-08-10
Momentum Driving School,33.0,157030000,7394147621,2016-08-12
Momentum Driving School,51.0,220120000,7394147621,2016-08-22
Momentum Driving School,42.0,217640000,7394147621,2016-08-23
Momentum Driving School,33.0,188400000,7394147621,2016-08-24
Momentum Driving School,22.0,133270000,7394147621,2016-08-29
Momentum Driving School,41.0,203630000,7394147621,2016-08-30
Momentum Driving School,49.0,207500000,7394147621,2016-09-05
Momentum Driving School,48.0,183240000,7394147621,2016-09-20
Momentum Driving School,39.0,164060000,7394147621,2016-09-22
Momentum Driving School,28.0,135810000,7394147621,2016-09-23
Momentum Driving School,31.0,163290000,7394147621,2016-09-26
Momentum Driving School,23.0,96710000,7394147621,2016-09-30
Momentum Driving School,30.0,145830000,7394147621,2016-10-03
Momentum Driving School,0.0,8120000,7394147621,2016-10-05
Momentum Driving School,31.0,134850000,7394147621,2016-08-08
Momentum Driving School,24.0,141960000,7394147621,2016-08-13
Momentum Driving School,24.0,166600000,7394147621,2016-08-14
Momentum Driving School,40.0,184650000,7394147621,2016-08-19
Momentum Driving School,26.0,166210000,7394147621,2016-08-21
Momentum Driving School,26.0,176010000,7394147621,2016-09-02
Momentum Driving School,29.0,125790000,7394147621,2016-09-03
Momentum Driving School,30.0,155810000,7394147621,2016-09-04
Momentum Driving School,36.0,196250000,7394147621,2016-09-06
Momentum Driving School,28.0,157140000,7394147621,2016-09-09
Momentum Driving School,23.0,118450000,7394147621,2016-09-10
Momentum Driving School,46.0,206650000,7394147621,2016-09-12
Momentum Driving School,32.0,194460000,7394147621,2016-09-15
Momentum Driving School,30.0,184000000,7394147621,2016-09-16
Momentum Driving School,23.0,140800000,7394147621,2016-09-17
Momentum Driving School,27.0,168680000,7394147621,2016-09-18
Momentum Driving School,31.0,170960000,7394147621,2016-09-21
Momentum Driving School,32.0,164910000,7394147621,2016-09-27
Momentum Driving School,32.0,157560000,7394147621,2016-09-28
Total,"2,118.0",10284090000, --, --
