schedule,title,path,length,type
00,"05 - Disco Love - The Saturdays.mp3",on14-03/song_e18b2534e9a2280794e4814368442605.mp3,03:15,song
00,"01 - Wrecking Ball - Miley Cyrus.mp3",on14-03/song_a8bc73292b5cb5850d2972f16806b9eb.mp3,03:43,song
00,adv1,jingle126731.mp3,3:21,ad
00,"02 - Puriyavillai - DownloadSouthMP3.SE.mp3",on14-03/song_4d19a7542ee6c6a713bb51bf6df3929d.mp3,04:30,song
00,"Dol Dol - TamilWire.com.mp3",on14-03/song_0d7816b476cf98b83cc5e9906a9b62a2.mp3,04:44,song
00,adv1,jingle126731.mp3,3:21,ad
00,"02 - Innum Konjam - DownloadSouthMP3.SE.mp3",on14-03/song_9d8fdde553e2eb5509d51c320e92549a.mp3,05:16,song
00,drffdg,jin9718.mp3,1:30,jing
00,"01 - Sitamma Vakitlo Sirimalle Chettu - DownloadSouthMP3.Com.mp3",on14-03/song_0aadcd2f4734d23eac65be926eff013e.mp3,03:43,song
00,adv1,jingle126731.mp3,3:21,ad
00,"03 - Dil Tu Hi Bataa - DownloadMing.SE.mp3",on14-03/song_d7c5b17315dcd1873dd927749bc7c62d.mp3,06:40,song
01,"Dol Dol - TamilWire.com.mp3",on14-03/song_0d7816b476cf98b83cc5e9906a9b62a2.mp3,04:44,song
01,adv1,jingle126731.mp3,3:21,ad
01,"08 - Talk Dirty (feat. 2 Chainz) - Jason Derulo.mp3",on14-03/song_4bde5db8e40840cb6f5bd6a361c95b5e.mp3,02:58,song
01,"02 - Innum Konjam - DownloadSouthMP3.SE.mp3",on14-03/song_9d8fdde553e2eb5509d51c320e92549a.mp3,05:16,song
01,jing1,jingle128725.mp3,3:21,jing
01,"01 - Wrecking Ball - Miley Cyrus.mp3",on14-03/song_a8bc73292b5cb5850d2972f16806b9eb.mp3,03:43,song
01,"04 - R U Crazy - Conor Maynard.mp3",on14-03/song_c375c3afa02d12e2c2c3ab72a3e77a06.mp3,04:13,song
01,adv1,jingle126731.mp3,3:21,ad
01,"02 O Lilli.mp3",on14-03/song_47894b4dd303f3b42a9b2acfb4ca59a6.mp3,04:30,song
01,"03 - Kuthu Vilakku.mp3",on14-03/song_78896f42f442b73f3313ee172d553d52.mp3,04:25,song
01,adv1,jingle126731.mp3,3:21,ad
01,"01 Vilayaadu Mankatha - Yuvan Shankar Raja_ Ranjith_.mp3",on14-03/song_01f485f8f94c877464f6ee039a11b935.mp3,06:03,song
01,jing1,jingle128725.mp3,3:21,jing
01,"02 - Athithom.mp3",on14-03/song_d520752872df568a28ef6f01cf244183.mp3,04:33,song
01,adv1,jingle126731.mp3,3:21,ad
02,"03 - Kuthu Vilakku.mp3",on14-03/song_78896f42f442b73f3313ee172d553d52.mp3,04:25,song
02,"02 - Puriyavillai - DownloadSouthMP3.SE.mp3",on14-03/song_4d19a7542ee6c6a713bb51bf6df3929d.mp3,04:30,song
02,adv1,jingle126731.mp3,3:21,ad
02,"Sleep Away.mp3",on14-03/song_3ac432c308eb7db4090434c5c52765bc.mp3,03:21,song
