Campaign ID,Campaign Name,Adgroup ID,Adgroup Name,Criterion ID,Criterion Name,Start Date,End Date,Current Bid,Bid,Clicks,Costs,Impressions
246876730,GSN - Caps - Brand: Capas - Brands,19110909730,GSN Brands - Capas Caps,104150566090,capas caps,20160228,20160305,0.22,0.11,0,0.00,1
246876730,GSN - Caps - Brand: Capas - Brands,19110909730,GSN Brands - Capas Caps,104150566090,capas caps,20160228,20160305,0.22,0.18,0,0.00,3
246876730,GSN - Caps - Brand: Capas - Brands,19110909730,GSN Brands - Capas Caps,104150566090,capas caps,20160228,20160305,0.22,0.22,0,0.00,4
246876730,GSN - Caps - Brand: Capas - Brands,19110909730,GSN Brands - Capas Caps,104150566090,capas caps,20160228,20160305,0.22,0.34,0,0.00,4
246876730,GSN - Caps - Brand: Capas - Brands,19110909730,GSN Brands - Capas Caps,104150566090,capas caps,20160228,20160305,0.22,0.45,0,0.00,5
246876730,GSN - Caps - Brand: Capas - Brands,19110909730,GSN Brands - Capas Caps,104150566090,capas caps,20160228,20160305,0.22,0.52,0,0.00,6
246876730,GSN - Caps - Brand: Capas - Brands,19110909730,GSN Brands - Capas Caps,104150566090,capas caps,20160228,20160305,0.22,0.55,0,0.00,7
246876730,GSN - Caps - Brand: Capas - Brands,19110909730,GSN Brands - Capas Caps,104150566090,capas caps,20160228,20160305,0.22,0.57,0,0.00,9
246876730,GSN - Caps - Brand: Capas - Brands,19110909730,GSN Brands - Capas Caps,104150566090,capas caps,20160228,20160305,0.22,0.70,0,0.00,11
246877330,GSN - Caps - Brand: Henschel - Brands,19110910210,GSN Brands - Henschel Caps,18283950120,henschel caps,20160228,20160305,0.27,0.01,0,0.00,29
246877330,GSN - Caps - Brand: Henschel - Brands,19110910210,GSN Brands - Henschel Caps,18283950120,henschel caps,20160228,20160305,0.27,0.27,6,1.19,308
246877330,GSN - Caps - Brand: Henschel - Brands,19110910210,GSN Brands - Henschel Caps,18283950120,henschel caps,20160228,20160305,0.27,0.36,15,4.31,624
246877330,GSN - Caps - Brand: Henschel - Brands,19110910210,GSN Brands - Henschel Caps,18283950120,henschel caps,20160228,20160305,0.27,0.43,21,7.28,939
246877330,GSN - Caps - Brand: Henschel - Brands,19110910210,GSN Brands - Henschel Caps,18283950120,henschel caps,20160228,20160305,0.27,0.51,28,11.20,1220
246877330,GSN - Caps - Brand: Henschel - Brands,19110910210,GSN Brands - Henschel Caps,18283950120,henschel caps,20160228,20160305,0.27,0.62,38,18.20,1500
246877330,GSN - Caps - Brand: Henschel - Brands,19110910210,GSN Brands - Henschel Caps,18283950120,henschel caps,20160228,20160305,0.27,0.74,47,25.40,1760
246877330,GSN - Caps - Brand: Henschel - Brands,19110910210,GSN Brands - Henschel Caps,18283950120,henschel caps,20160228,20160305,0.27,0.92,52,31.70,1920
246877330,GSN - Caps - Brand: Henschel - Brands,19110910210,GSN Brands - Henschel Caps,18283950120,henschel caps,20160228,20160305,0.27,1.13,55,35.90,2000
246877330,GSN - Caps - Brand: Henschel - Brands,19110910210,GSN Brands - Henschel Caps,18283950120,henschel caps,20160228,20160305,0.27,1.34,58,39.40,2040
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,104047485850,costume hats,20160228,20160305,0.16,0.01,0,0.00,16
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,104047485850,costume hats,20160228,20160305,0.16,0.16,1,0.02,82
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,104047485850,costume hats,20160228,20160305,0.16,0.37,1,0.07,156
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,104047485850,costume hats,20160228,20160305,0.16,0.53,1,0.20,232
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,104047485850,costume hats,20160228,20160305,0.16,0.66,1,0.38,306
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,104047485850,costume hats,20160228,20160305,0.16,0.93,2,0.76,369
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,104047485850,costume hats,20160228,20160305,0.16,1.33,3,1.42,412
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,104047485850,costume hats,20160228,20160305,0.16,1.85,3,2.04,425
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,104047485850,costume hats,20160228,20160305,0.16,2.39,4,2.61,429
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,104047485850,costume hats,20160228,20160305,0.16,2.92,4,3.09,437
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,18283950120,costume hats,20160228,20160305,0.16,0.01,0,0.00,16
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,18283950120,costume hats,20160228,20160305,0.16,0.16,1,0.02,82
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,18283950120,costume hats,20160228,20160305,0.16,0.37,1,0.07,156
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,18283950120,costume hats,20160228,20160305,0.16,0.53,1,0.20,232
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,18283950120,costume hats,20160228,20160305,0.16,0.66,1,0.38,306
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,18283950120,costume hats,20160228,20160305,0.16,0.93,2,0.76,369
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,18283950120,costume hats,20160228,20160305,0.16,1.33,3,1.42,412
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,18283950120,costume hats,20160228,20160305,0.16,1.85,3,2.04,425
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,18283950120,costume hats,20160228,20160305,0.16,2.39,4,2.61,429
246635410,GSN - Costume Hats - General,19091325610,GSN General - Costume Hats,18283950120,costume hats,20160228,20160305,0.16,2.92,4,3.09,437
246878890,GSN - Cocktail Hats - Brand: Kakyco - Brands,19110912250,GSN Brands - Kakyco Cocktail Hats,18283950120,kakyco cocktail hats,20160228,20160305,0.25,0.18,0,0.00,1
246878890,GSN - Cocktail Hats - Brand: Kakyco - Brands,19110912250,GSN Brands - Kakyco Cocktail Hats,18283950120,kakyco cocktail hats,20160228,20160305,0.25,0.25,0,0.00,2
246878890,GSN - Cocktail Hats - Brand: Kakyco - Brands,19110912250,GSN Brands - Kakyco Cocktail Hats,18283950120,kakyco cocktail hats,20160228,20160305,0.25,0.33,0,0.00,5
246878890,GSN - Cocktail Hats - Brand: Kakyco - Brands,19110912250,GSN Brands - Kakyco Cocktail Hats,18283950120,kakyco cocktail hats,20160228,20160305,0.25,0.54,0,0.00,8
246878890,GSN - Cocktail Hats - Brand: Kakyco - Brands,19110912250,GSN Brands - Kakyco Cocktail Hats,18283950120,kakyco cocktail hats,20160228,20160305,0.25,0.67,0,0.00,9
246878890,GSN - Cocktail Hats - Brand: Kakyco - Brands,19110912250,GSN Brands - Kakyco Cocktail Hats,18283950120,kakyco cocktail hats,20160228,20160305,0.25,0.86,0,0.00,10
246878890,GSN - Cocktail Hats - Brand: Kakyco - Brands,19110912250,GSN Brands - Kakyco Cocktail Hats,18283950120,kakyco cocktail hats,20160228,20160305,0.25,1.38,0,0.00,11
246878890,GSN - Cocktail Hats - Brand: Kakyco - Brands,19110912250,GSN Brands - Kakyco Cocktail Hats,18283950120,kakyco cocktail hats,20160228,20160305,0.25,1.89,0,0.00,11
246878890,GSN - Cocktail Hats - Brand: Kakyco - Brands,19110912250,GSN Brands - Kakyco Cocktail Hats,18283950120,kakyco cocktail hats,20160228,20160305,0.25,2.81,0,0.00,12
