Target,Target Data,Brand,CL0,Campaign Name,Ad Group Name,Bid,Priority,Merchant Id,Budget,Label,Country,Status
CUSTOM_ATTRIBUTE_2,Aqua Color Sale Products,Aqua Color,Sale,GSN - Sale - Brand: Aqua Color - Items - CL2,GSN Item - Aqua Color Sale Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Luminous Finish - Glossy & Polished Products,Luminous,Finish - Glossy & Polished,GSN - Finish - Glossy & Polished - Brand: Luminous - Items - CL2,GSN Item - Luminous Finish - Glossy & Polished Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Luminous Shop By Application - Fireplace Products,Luminous,Shop By Application - Fireplace,GSN - Shop By Application - Fireplace - Brand: Luminous - Items - CL2,GSN Item - Luminous Shop By Application - Fireplace Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Luminous Glass Tile - Glass Subway Tile Products,Luminous,Glass Tile - Glass Subway Tile,GSN - Glass Tile - Glass Subway Tile - Brand: Luminous - Items - CL2,GSN Item - Luminous Glass Tile - Glass Subway Tile Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Luminous Shop by Style - Contemporary Products,Luminous,Shop by Style - Contemporary,GSN - Shop by Style - Contemporary - Brand: Luminous - Items - CL2,GSN Item - Luminous Shop by Style - Contemporary Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Directions Shapes & Patterns - Linear Products,Directions,Shapes & Patterns - Linear,GSN - Shapes & Patterns - Linear - Brand: Directions - Items - CL2,GSN Item - Directions Shapes & Patterns - Linear Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Directions Shop by Style - Contemporary Products,Directions,Shop by Style - Contemporary,GSN - Shop by Style - Contemporary - Brand: Directions - Items - CL2,GSN Item - Directions Shop by Style - Contemporary Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Directions Glass Tile Products,Directions,Glass Tile,GSN - Glass Tile - Brand: Directions - Items - CL2,GSN Item - Directions Glass Tile Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Jewel Shop by Style - Modern Products,Jewel,Shop by Style - Modern,GSN - Shop by Style - Modern - Brand: Jewel - Items - CL2,GSN Item - Jewel Shop by Style - Modern Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Boatwood Wood Tile Products,Boatwood,Wood Tile,GSN - Wood Tile - Brand: Boatwood - Items - CL2,GSN Item - Boatwood Wood Tile Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Linen Finish - Glossy & Polished Products,Linen,Finish - Glossy & Polished,GSN - Finish - Glossy & Polished - Brand: Linen - Items - CL2,GSN Item - Linen Finish - Glossy & Polished Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Artistic Mosaic Natural Stone Products,Artistic Mosaic,Natural Stone,GSN - Natural Stone - Brand: Artistic Mosaic - Items - CL2,GSN Item - Artistic Mosaic Natural Stone Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Artistic Mosaic Shapes & Patterns - Picket Products,Artistic Mosaic,Shapes & Patterns - Picket,GSN - Shapes & Patterns - Picket - Brand: Artistic Mosaic - Items - CL2,GSN Item - Artistic Mosaic Shapes & Patterns - Picket Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,HE Stone Natural Stone Products,HE Stone,Natural Stone,GSN - Natural Stone - Brand: HE Stone - Items - CL2,GSN Item - HE Stone Natural Stone Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Rock Sale Products,Rock,Sale,GSN - Sale - Brand: Rock - Items - CL2,GSN Item - Rock Sale Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Mosaico Natural Natural Stone Products,Mosaico Natural,Natural Stone,GSN - Natural Stone - Brand: Mosaico Natural - Items - CL2,GSN Item - Mosaico Natural Natural Stone Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Luminous Shapes & Patterns - Linear Products,Luminous,Shapes & Patterns - Linear,GSN - Shapes & Patterns - Linear - Brand: Luminous - Items - CL2,GSN Item - Luminous Shapes & Patterns - Linear Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Brick Subway Shop by Style - Transitional Products,Brick Subway,Shop by Style - Transitional,GSN - Shop by Style - Transitional - Brand: Brick Subway - Items - CL2,GSN Item - Brick Subway Shop by Style - Transitional Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Directions Finish - Glossy & Polished Products,Directions,Finish - Glossy & Polished,GSN - Finish - Glossy & Polished - Brand: Directions - Items - CL2,GSN Item - Directions Finish - Glossy & Polished Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Directions Shop By Application - Feature Wall Products,Directions,Shop By Application - Feature Wall,GSN - Shop By Application - Feature Wall - Brand: Directions - Items - CL2,GSN Item - Directions Shop By Application - Feature Wall Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Pool Frost Finish - Glossy & Polished Products,Pool Frost,Finish - Glossy & Polished,GSN - Finish - Glossy & Polished - Brand: Pool Frost - Items - CL2,GSN Item - Pool Frost Finish - Glossy & Polished Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
CUSTOM_ATTRIBUTE_2,Shimmer Shop by Style - Transitional Products,Shimmer,Shop by Style - Transitional,GSN - Shop by Style - Transitional - Brand: Shimmer - Items - CL2,GSN Item - Shimmer Shop by Style - Transitional Products,0.35,2,2398962,5,PLA,United States,Campaign created--Adgroup created--Product group created
