Target,Target Data,Brand,CL0,Campaign Name,Ad Group Name,Bid,Priority,Merchant Id,Budget,Label,Country
Product type,Meteorite Rings - Titanium Titanium Rings,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Titanium Titanium Rings,0.20,0,8978972,100,PLA,United States
Product type,Wedding Bands - Mens Antler Rings,Jewelry by Johan,Wedding Bands,GSN - General - Wedding Bands,GSN General - Wedding Bands - Mens Antler Rings,0.20,0,8978972,100,PLA,United States
Product type,Wedding Bands - Mens Gifts Under $250,Jewelry by Johan,Wedding Bands,GSN - General - Wedding Bands,GSN General - Wedding Bands - Mens Gifts Under $250,0.20,0,8978972,100,PLA,United States
Product type,Engagement Rings - Custom Engagement Rings,Jewelry by Johan,Engagement Rings,GSN - General - Engagement Rings,GSN General - Engagement Rings - Custom Engagement Rings,0.20,0,8978972,100,PLA,United States
Product type,Wedding Bands - Mens Titanium Rings,Jewelry by Johan,Wedding Bands,GSN - General - Wedding Bands,GSN General - Wedding Bands - Mens Titanium Rings,0.20,0,8978972,100,PLA,United States
Product type,Wedding Bands - Mens Sustainable Jewelry,Jewelry by Johan,Wedding Bands,GSN - General - Wedding Bands,GSN General - Wedding Bands - Mens Sustainable Jewelry,0.20,0,8978972,100,PLA,United States
Product type,Meteorite Rings - Gemstone Wedding Bands,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Gemstone Wedding Bands,0.20,0,8978972,100,PLA,United States
Product type,Wedding Bands - Mens Wood Rings,Jewelry by Johan,Wedding Bands,GSN - General - Wedding Bands,GSN General - Wedding Bands - Mens Wood Rings,0.20,0,8978972,100,PLA,United States
Product type,Wedding Bands - Mens Dinosaur Bone Rings,Jewelry by Johan,Wedding Bands,GSN - General - Wedding Bands,GSN General - Wedding Bands - Mens Dinosaur Bone Rings,0.20,0,8978972,100,PLA,United States
Product type,Wood Rings - Gemstone Wood Rings,Jewelry by Johan,Wood Rings,GSN - General - Wood Rings,GSN General - Wood Rings - Gemstone Wood Rings,0.20,0,8978972,100,PLA,United States
Product type,Wedding Bands - Mens Meteorite Rings,Jewelry by Johan,Wedding Bands,GSN - General - Wedding Bands,GSN General - Wedding Bands - Mens Meteorite Rings,0.20,0,8978972,100,PLA,United States
Product type,Meteorite Rings - Gold Wedding Bands,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Gold Wedding Bands,0.20,0,8978972,100,PLA,United States
Product type,Wood Rings - Gold Wedding Bands,Jewelry by Johan,Wood Rings,GSN - General - Wood Rings,GSN General - Wood Rings - Gold Wedding Bands,0.20,0,8978972,100,PLA,United States
Product type,Meteorite Rings - Black Ceramic Ceramic Rings,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Black Ceramic Ceramic Rings,0.20,0,8978972,100,PLA,United States
Product type,Antler Rings - Black Ceramic Ceramic Rings,Jewelry by Johan,Antler Rings,GSN - General - Antler Rings,GSN General - Antler Rings - Black Ceramic Ceramic Rings,0.20,0,8978972,100,PLA,United States
Product type,Wedding Bands - Mens Signature Styles,Jewelry by Johan,Wedding Bands,GSN - General - Wedding Bands,GSN General - Wedding Bands - Mens Signature Styles,0.20,0,8978972,100,PLA,United States
Product type,Misc - Pet Fur,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Pet Fur,0.20,0,8978972,100,PLA,United States
Product type,Misc - Dinosaur Bone,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Dinosaur Bone,0.20,0,8978972,100,PLA,United States
Product type,Antler Rings - Titanium Titanium Rings,Jewelry by Johan,Antler Rings,GSN - General - Antler Rings,GSN General - Antler Rings - Titanium Titanium Rings,0.20,0,8978972,100,PLA,United States
Product type,Wood Rings - Black Ceramic Ceramic Rings,Jewelry by Johan,Wood Rings,GSN - General - Wood Rings,GSN General - Wood Rings - Black Ceramic Ceramic Rings,0.20,0,8978972,100,PLA,United States
Product type,Meteorite Rings - Gold Meteorite Rings,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Gold Meteorite Rings,0.20,0,8978972,100,PLA,United States
Product type,Dinosaur Bone Rings - Gold Meteorite Rings,Jewelry by Johan,Dinosaur Bone Rings,GSN - General - Dinosaur Bone Rings,GSN General - Dinosaur Bone Rings - Gold Meteorite Rings,0.20,0,8978972,100,PLA,United States
Product type,Misc - Pet Ash,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Pet Ash,0.20,0,8978972,100,PLA,United States
Product type,Meteorite Rings - Gemstone Meteorite Rings,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Gemstone Meteorite Rings,0.20,0,8978972,100,PLA,United States
Product type,Antler Rings - Black Ceramic Camo Rings,Jewelry by Johan,Antler Rings,GSN - General - Antler Rings,GSN General - Antler Rings - Black Ceramic Camo Rings,0.20,0,8978972,100,PLA,United States
Product type,Wedding Bands - Mens Tungsten Rings,Jewelry by Johan,Wedding Bands,GSN - General - Wedding Bands,GSN General - Wedding Bands - Mens Tungsten Rings,0.20,0,8978972,100,PLA,United States
Product type,Wood Rings - Titanium Wedding Bands,Jewelry by Johan,Wood Rings,GSN - General - Wood Rings,GSN General - Wood Rings - Titanium Wedding Bands,0.20,0,8978972,100,PLA,United States
Product type,Wood Rings - Gold Precious Metal Rings,Jewelry by Johan,Wood Rings,GSN - General - Wood Rings,GSN General - Wood Rings - Gold Precious Metal Rings,0.20,0,8978972,100,PLA,United States
Product type,Misc - Misc,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Misc,0.20,0,8978972,100,PLA,United States
Product type,Wedding Bands - Mens Mokume Rings,Jewelry by Johan,Wedding Bands,GSN - General - Wedding Bands,GSN General - Wedding Bands - Mens Mokume Rings,0.20,0,8978972,100,PLA,United States
Product type,Misc - Antler|Pet Ash,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Antler|Pet Ash,0.20,0,8978972,100,PLA,United States
Product type,Misc - Pet Ash|Turquoise,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Pet Ash|Turquoise,0.20,0,8978972,100,PLA,United States
Product type,Wood Rings - Gemstone Wedding Bands,Jewelry by Johan,Wood Rings,GSN - General - Wood Rings,GSN General - Wood Rings - Gemstone Wedding Bands,0.20,0,8978972,100,PLA,United States
Product type,Engagement Rings - Bridal Sets,Jewelry by Johan,Engagement Rings,GSN - General - Engagement Rings,GSN General - Engagement Rings - Bridal Sets,0.20,0,8978972,100,PLA,United States
Product type,Wood Rings - Titanium Wood Rings,Jewelry by Johan,Wood Rings,GSN - General - Wood Rings,GSN General - Wood Rings - Titanium Wood Rings,0.20,0,8978972,100,PLA,United States
Product type,Meteorite Rings - Platinum Precious Metal Rings,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Platinum Precious Metal Rings,0.20,0,8978972,100,PLA,United States
Product type,Wedding Bands - Mens Precious Metal Rings,Jewelry by Johan,Wedding Bands,GSN - General - Wedding Bands,GSN General - Wedding Bands - Mens Precious Metal Rings,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 12 - 12.75,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 12 - 12.75,0.20,0,8978972,100,PLA,United States
Product type,Misc - Jade,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Jade,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 7 - 7.75,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 7 - 7.75,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 9.5,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 9.5,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 10,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 10,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 10.5,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 10.5,0.20,0,8978972,100,PLA,United States
Product type,Misc - Flower Petals,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Flower Petals,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 8.75,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 8.75,0.20,0,8978972,100,PLA,United States
Product type,Engagement Rings - Custom Wood Rings,Jewelry by Johan,Engagement Rings,GSN - General - Engagement Rings,GSN General - Engagement Rings - Custom Wood Rings,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 11,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 11,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 5 - 5.75,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 5 - 5.75,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 8,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 8,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 10.25,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 10.25,0.20,0,8978972,100,PLA,United States
Product type,Misc - Turquoise,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Turquoise,0.20,0,8978972,100,PLA,United States
Product type,Misc - Lapis Lazuli,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Lapis Lazuli,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 4 - 4.75,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 4 - 4.75,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 6 - 6.75,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 6 - 6.75,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 11.25,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 11.25,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 9.25,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 9.25,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 9,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 9,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 10.75,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 10.75,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 8.25,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 8.25,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 9.75,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 9.75,0.20,0,8978972,100,PLA,United States
Product type,Wedding Bands - Womens,Jewelry by Johan,Wedding Bands,GSN - General - Wedding Bands,GSN General - Wedding Bands - Womens,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 8.5,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 8.5,0.20,0,8978972,100,PLA,United States
Product type,Wedding Bands - Mens Wedding Bands,Jewelry by Johan,Wedding Bands,GSN - General - Wedding Bands,GSN General - Wedding Bands - Mens Wedding Bands,0.20,0,8978972,100,PLA,United States
Product type,Necklaces - Meteorite Necklaces,Jewelry by Johan,Necklaces,GSN - General - Necklaces,GSN General - Necklaces - Meteorite Necklaces,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 13 - 13.75,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 13 - 13.75,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 14 - 14.75,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 14 - 14.75,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 11.5,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 11.5,0.20,0,8978972,100,PLA,United States
Product type,Gifts Under $250 - Cuff Links Under $250,Jewelry by Johan,Gifts Under $250,GSN - General - Gifts Under $250,GSN General - Gifts Under $250 - Cuff Links Under $250,0.20,0,8978972,100,PLA,United States
Product type,Misc - Antler,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Antler,0.20,0,8978972,100,PLA,United States
Product type,Dinosaur Bone Rings - Gemstone Meteorite Rings,Jewelry by Johan,Dinosaur Bone Rings,GSN - General - Dinosaur Bone Rings,GSN General - Dinosaur Bone Rings - Gemstone Meteorite Rings,0.20,0,8978972,100,PLA,United States
Product type,Misc - Enamel,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Enamel,0.20,0,8978972,100,PLA,United States
Product type,Misc - Camo,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Camo,0.20,0,8978972,100,PLA,United States
Product type,Meteorite Rings - Gold Wood Rings,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Gold Wood Rings,0.20,0,8978972,100,PLA,United States
Product type,Necklaces - Pendants and Charms,Jewelry by Johan,Necklaces,GSN - General - Necklaces,GSN General - Necklaces - Pendants and Charms,0.20,0,8978972,100,PLA,United States
Product type,Dinosaur Bone Rings - Gold Wedding Bands,Jewelry by Johan,Dinosaur Bone Rings,GSN - General - Dinosaur Bone Rings,GSN General - Dinosaur Bone Rings - Gold Wedding Bands,0.20,0,8978972,100,PLA,United States
Product type,Antler Rings - Gold Precious Metal Rings,Jewelry by Johan,Antler Rings,GSN - General - Antler Rings,GSN General - Antler Rings - Gold Precious Metal Rings,0.20,0,8978972,100,PLA,United States
Product type,Dinosaur Bone Rings - Gold Wood Rings,Jewelry by Johan,Dinosaur Bone Rings,GSN - General - Dinosaur Bone Rings,GSN General - Dinosaur Bone Rings - Gold Wood Rings,0.20,0,8978972,100,PLA,United States
