Keyword1,Keyword2,Keyword3,Keyword4,Headline1,Headline2,description,finalUrls,path1,path2,availability,bid,campaignname,adgroupname,campaignbudget
keyword10,keyword2000,keyword3000,keyword4000,headline10,headline20,description10,http://finalurl10.com,folder01,folder20, in stock,10, campaign10,adgroup10,100
keyword11,keyword2001,keyword3001,keyword4001,headline11,headline21,description11,http://finalurl11.com,folder11,folder21, in stock,10, campaign10,adgroup10,100
keyword12,keyword2002,keyword3002,keyword4002,headline12,headline22,description12,http://finalurl12.com,folder12,folder22, in stock,10, campaign10,adgroup10,100
keyword13,keyword2003,keyword3003,keyword4003,headline13,headline23,description13,http://finalurl13.com,folder13,folder23, in stock,10, campaign10,adgroup10,100
keyword14,keyword2004,keyword3004,keyword4004,headline14,headline24,description14,http://finalurl14.com,folder14,folder24, in stock,10, campaign10,adgroup10,100
keyword15,keyword2005,keyword3005,keyword4005,headline15,headline25,description15,http://finalurl15.com,folder15,folder25, in stock,10, campaign10,adgroup10,100
keyword16,keyword2006,keyword3006,keyword4006,headline16,headline26,description16,http://finalurl16.com,folder16,folder26, in stock,10, campaign10,adgroup10,100
keyword17,keyword2007,keyword3007,keyword4007,headline17,headline27,description17,http://finalurl17.com,folder17,folder27, in stock,10, campaign10,adgroup10,100
keyword18,keyword2008,keyword3008,keyword4008,headline18,headline28,description18,http://finalurl18.com,folder18,folder28, in stock,10, campaign10,adgroup10,100
keyword19,keyword2009,keyword3009,keyword4009,headline19,headline29,description19,http://finalurl19.com,folder19,folder29, in stock,14, campaign10,adgroup8,100
keyword20,keyword2010,keyword3010,keyword4010,headline20,headline30,description20,http://finalurl20.com,folder20,folder30, in stock,14, campaign10,adgroup8,100
keyword21,keyword2011,keyword3011,keyword4011,headline21,headline31,description21,http://finalurl21.com,folder21,folder31, in stock,14, campaign10,adgroup8,100
keyword22,keyword2012,keyword3012,keyword4012,headline22,headline32,description22,http://finalurl22.com,folder22,folder32, in stock,14, campaign10,adgroup8,100
keyword23,keyword2013,keyword3013,keyword4013,headline23,headline33,description23,http://finalurl23.com,folder23,folder33, in stock,14, campaign10,adgroup8,100
keyword24,keyword2014,keyword3014,keyword4014,headline24,headline34,description24,http://finalurl24.com,folder24,folder34, in stock,14, campaign10,adgroup8,100
keyword25,keyword2015,keyword3015,keyword4015,headline25,headline35,description25,http://finalurl25.com,folder25,folder35, in stock,14, campaign10,adgroup8,100
keyword26,keyword2016,keyword3016,keyword4016,headline26,headline36,description26,http://finalurl26.com,folder26,folder36, in stock,14, campaign10,adgroup8,100
keyword27,keyword2017,keyword3017,keyword4017,headline27,headline37,description27,http://finalurl27.com,folder27,folder37, in stock,22, campaign10,adgroup16,100
keyword28,keyword2018,keyword3018,keyword4018,headline28,headline38,description28,http://finalurl28.com,folder28,folder38, in stock,22, campaign10,adgroup16,100
keyword29,keyword2019,keyword3019,keyword4019,headline29,headline39,description29,http://finalurl29.com,folder29,folder39, in stock,22, campaign10,adgroup16,100
keyword30,keyword2020,keyword3020,keyword4020,headline30,headline40,description30,http://finalurl30.com,folder30,folder40, in stock,25, campaign30,adgroup19,117
keyword31,keyword2021,keyword3021,keyword4021,headline31,headline41,description31,http://finalurl31.com,folder31,folder41, in stock,25, campaign30,adgroup19,117
keyword32,keyword2022,keyword3022,keyword4022,headline32,headline42,description32,http://finalurl32.com,folder32,folder42, in stock,25, campaign30,adgroup19,117
keyword33,keyword2023,keyword3023,keyword4023,headline33,headline43,description33,http://finalurl33.com,folder33,folder43, in stock,25, campaign30,adgroup19,117
keyword34,keyword2024,keyword3024,keyword4024,headline34,headline44,description34,http://finalurl34.com,folder34,folder44, in stock,25, campaign30,adgroup19,117
keyword35,keyword2025,keyword3025,keyword4025,headline35,headline45,description35,http://finalurl35.com,folder35,folder45, in stock,25, campaign30,adgroup19,117
keyword36,keyword2026,keyword3026,keyword4026,headline36,headline46,description36,http://finalurl36.com,folder36,folder46, in stock,25, campaign30,adgroup19,117
keyword37,keyword2027,keyword3027,keyword4027,headline37,headline47,description37,http://finalurl37.com,folder37,folder47, in stock,25, campaign30,adgroup19,117
keyword38,keyword2028,keyword3028,keyword4028,headline38,headline48,description38,http://finalurl38.com,folder38,folder48, in stock,25, campaign30,adgroup19,117
keyword39,keyword2029,keyword3029,keyword4029,headline39,headline49,description39,http://finalurl39.com,folder39,folder49, in stock,34, campaign30,adgroup28,117
keyword40,keyword2030,keyword3030,keyword4030,headline40,headline50,description40,http://finalurl40.com,folder40,folder50, in stock,34, campaign30,adgroup28,117
keyword41,keyword2031,keyword3031,keyword4031,headline41,headline51,description41,http://finalurl41.com,folder41,folder51, in stock,34, campaign30,adgroup28,117
keyword42,keyword2032,keyword3032,keyword4032,headline42,headline52,description42,http://finalurl42.com,folder42,folder52, in stock,34, campaign30,adgroup28,117
keyword43,keyword2033,keyword3033,keyword4033,headline43,headline53,description43,http://finalurl43.com,folder43,folder53, in stock,34, campaign30,adgroup28,117
keyword44,keyword2034,keyword3034,keyword4034,headline44,headline54,description44,http://finalurl44.com,folder44,folder54, in stock,34, campaign30,adgroup28,117
keyword45,keyword2035,keyword3035,keyword4035,headline45,headline55,description45,http://finalurl45.com,folder45,folder55, in stock,34, campaign30,adgroup28,117
keyword46,keyword2036,keyword3036,keyword4036,headline46,headline56,description46,http://finalurl46.com,folder46,folder56, in stock,34, campaign30,adgroup28,117
keyword47,keyword2037,keyword3037,keyword4037,headline47,headline57,description47,http://finalurl47.com,folder47,folder57, in stock,34, campaign30,adgroup28,117
keyword48,keyword2038,keyword3038,keyword4038,headline48,headline58,description48,http://finalurl48.com,folder48,folder58, in stock,34, campaign30,adgroup28,117
keyword49,keyword2039,keyword3039,keyword4039,headline49,headline59,description49,http://finalurl49.com,folder49,folder59, in stock,34, campaign30,adgroup28,117
keyword50,keyword2040,keyword3040,keyword4040,headline50,headline60,description50,http://finalurl50.com,folder50,folder60, in stock,45, campaign38,adgroup39,137
keyword51,keyword2041,keyword3041,keyword4041,headline51,headline61,description51,http://finalurl51.com,folder51,folder61, in stock,45, campaign38,adgroup39,137
keyword52,keyword2042,keyword3042,keyword4042,headline52,headline62,description52,http://finalurl52.com,folder52,folder62, in stock,45, campaign38,adgroup39,137
keyword53,keyword2043,keyword3043,keyword4043,headline53,headline63,description53,http://finalurl53.com,folder53,folder63, in stock,45, campaign38,adgroup39,137
keyword54,keyword2044,keyword3044,keyword4044,headline54,headline64,description54,http://finalurl54.com,folder54,folder64, in stock,45, campaign38,adgroup39,137
keyword55,keyword2045,keyword3045,keyword4045,headline55,headline65,description55,http://finalurl55.com,folder55,folder65, in stock,50, campaign38,adgroup44,137
keyword56,keyword2046,keyword3046,keyword4046,headline56,headline66,description56,http://finalurl56.com,folder56,folder66, in stock,50, campaign38,adgroup44,137
keyword57,keyword2047,keyword3047,keyword4047,headline57,headline67,description57,http://finalurl57.com,folder57,folder67, in stock,50, campaign38,adgroup44,137
keyword58,keyword2048,keyword3048,keyword4048,headline58,headline68,description58,http://finalurl58.com,folder58,folder68, in stock,50, campaign38,adgroup44,137
keyword59,keyword2049,keyword3049,keyword4049,headline59,headline69,description59,http://finalurl59.com,folder59,folder69, in stock,61, campaign45,adgroup45,150
keyword60,keyword2050,keyword3050,keyword4050,headline60,headline70,description60,http://finalurl60.com,folder60,folder70, in stock,61, campaign45,adgroup45,150
keyword61,keyword2051,keyword3051,keyword4051,headline61,headline71,description61,http://finalurl61.com,folder61,folder71, in stock,61, campaign45,adgroup45,150
keyword62,keyword2052,keyword3052,keyword4052,headline62,headline72,description62,http://finalurl62.com,folder62,folder72, in stock,61, campaign45,adgroup45,150
keyword63,keyword2053,keyword3053,keyword4053,headline63,headline73,description63,http://finalurl63.com,folder63,folder73, in stock,61, campaign45,adgroup45,150
keyword64,keyword2054,keyword3054,keyword4054,headline64,headline74,description64,http://finalurl64.com,folder64,folder74, in stock,61, campaign45,adgroup45,150
keyword65,keyword2055,keyword3055,keyword4055,headline65,headline75,description65,http://finalurl65.com,folder65,folder75, in stock,61, campaign45,adgroup45,150
keyword66,keyword2056,keyword3056,keyword4056,headline66,headline76,description66,http://finalurl66.com,folder66,folder76, in stock,61, campaign45,adgroup45,150
keyword67,keyword2057,keyword3057,keyword4057,headline67,headline77,description67,http://finalurl67.com,folder67,folder77, in stock,61, campaign45,adgroup45,150
keyword68,keyword2058,keyword3058,keyword4058,headline68,headline78,description68,http://finalurl68.com,folder68,folder78, in stock,61, campaign45,adgroup45,150
keyword69,keyword2059,keyword3059,keyword4059,headline69,headline79,description69,http://finalurl69.com,folder69,folder79, in stock,61, campaign45,adgroup45,150
keyword70,keyword2060,keyword3060,keyword4060,headline70,headline80,description70,http://finalurl70.com,folder70,folder80, in stock,61, campaign45,adgroup45,150
keyword71,keyword2061,keyword3061,keyword4061,headline71,headline81,description71,http://finalurl71.com,folder71,folder81, in stock,61, campaign45,adgroup45,150
keyword72,keyword2062,keyword3062,keyword4062,headline72,headline82,description72,http://finalurl72.com,folder72,folder82, in stock,61, campaign45,adgroup45,150
