Keyword1,Keyword2,Keyword3,Keyword4,Headline1,Headline2,description,finalUrls,path1,path2,availability,bid,campaignname,adgroupname,campaignbudget
keyword10,keyword20,keyword30,keyword40,headline10,headline20,description10,http://finalurl10.com,folder01,folder20, in_stock,10, campaign10,adgroup10,100
keyword11,keyword21,keyword31,keyword41,headline11,headline21,description11,http://finalurl11.com,folder11,folder21, in_stock,10, campaign10,adgroup10,100
keyword12,keyword22,keyword32,keyword42,headline12,headline22,description12,http://finalurl12.com,folder12,folder22, in_stock,10, campaign10,adgroup10,100
keyword13,keyword23,keyword33,keyword43,headline13,headline23,description13,http://finalurl13.com,folder13,folder23, in_stock,10, campaign10,adgroup10,100
keyword14,keyword24,keyword34,keyword44,headline14,headline24,description14,http://finalurl14.com,folder14,folder24, in_stock,10, campaign10,adgroup10,100
keyword15,keyword25,keyword35,keyword45,headline15,headline25,description15,http://finalurl15.com,folder15,folder25, in_stock,10, campaign10,adgroup10,100
keyword16,keyword26,keyword36,keyword46,headline16,headline26,description16,http://finalurl16.com,folder16,folder26, in_stock,10, campaign10,adgroup10,100
keyword17,keyword27,keyword37,keyword47,headline17,headline27,description17,http://finalurl17.com,folder17,folder27, in_stock,10, campaign10,adgroup10,100
keyword18,keyword28,keyword38,keyword48,headline18,headline28,description18,http://finalurl18.com,folder18,folder28, in_stock,10, campaign10,adgroup10,100
keyword19,keyword29,keyword39,keyword49,headline19,headline29,description19,http://finalurl19.com,folder19,folder29, in_stock,14, campaign10,adgroup8,100
keyword20,keyword30,keyword40,keyword50,headline20,headline30,description20,http://finalurl20.com,folder20,folder30, in_stock,14, campaign10,adgroup8,100
keyword21,keyword31,keyword41,keyword51,headline21,headline31,description21,http://finalurl21.com,folder21,folder31, in_stock,14, campaign10,adgroup8,100
keyword22,keyword32,keyword42,keyword52,headline22,headline32,description22,http://finalurl22.com,folder22,folder32, in_stock,14, campaign10,adgroup8,100
keyword23,keyword33,keyword43,keyword53,headline23,headline33,description23,http://finalurl23.com,folder23,folder33, in_stock,14, campaign10,adgroup8,100
keyword24,keyword34,keyword44,keyword54,headline24,headline34,description24,http://finalurl24.com,folder24,folder34, in_stock,14, campaign10,adgroup8,100
keyword25,keyword35,keyword45,keyword55,headline25,headline35,description25,http://finalurl25.com,folder25,folder35, in_stock,14, campaign10,adgroup8,100
keyword26,keyword36,keyword46,keyword56,headline26,headline36,description26,http://finalurl26.com,folder26,folder36, in_stock,14, campaign10,adgroup8,100
keyword27,keyword37,keyword47,keyword57,headline27,headline37,description27,http://finalurl27.com,folder27,folder37, in_stock,22, campaign10,adgroup16,100
keyword28,keyword38,keyword48,keyword58,headline28,headline38,description28,http://finalurl28.com,folder28,folder38, in_stock,22, campaign10,adgroup16,100
keyword29,keyword39,keyword49,keyword59,headline29,headline39,description29,http://finalurl29.com,folder29,folder39, in_stock,22, campaign10,adgroup16,100
keyword30,keyword40,keyword50,keyword60,headline30,headline40,description30,http://finalurl30.com,folder30,folder40, in_stock,25, campaign30,adgroup19,117
keyword31,keyword41,keyword51,keyword61,headline31,headline41,description31,http://finalurl31.com,folder31,folder41, in_stock,25, campaign30,adgroup19,117
keyword32,keyword42,keyword52,keyword62,headline32,headline42,description32,http://finalurl32.com,folder32,folder42, in_stock,25, campaign30,adgroup19,117
keyword33,keyword43,keyword53,keyword63,headline33,headline43,description33,http://finalurl33.com,folder33,folder43, in_stock,25, campaign30,adgroup19,117
keyword34,keyword44,keyword54,keyword64,headline34,headline44,description34,http://finalurl34.com,folder34,folder44, in_stock,25, campaign30,adgroup19,117
keyword35,keyword45,keyword55,keyword65,headline35,headline45,description35,http://finalurl35.com,folder35,folder45, in_stock,25, campaign30,adgroup19,117
keyword36,keyword46,keyword56,keyword66,headline36,headline46,description36,http://finalurl36.com,folder36,folder46, in_stock,25, campaign30,adgroup19,117
keyword37,keyword47,keyword57,keyword67,headline37,headline47,description37,http://finalurl37.com,folder37,folder47, in_stock,25, campaign30,adgroup19,117
keyword38,keyword48,keyword58,keyword68,headline38,headline48,description38,http://finalurl38.com,folder38,folder48, in_stock,25, campaign30,adgroup19,117
keyword39,keyword49,keyword59,keyword69,headline39,headline49,description39,http://finalurl39.com,folder39,folder49, in_stock,34, campaign30,adgroup28,117
keyword40,keyword50,keyword60,keyword70,headline40,headline50,description40,http://finalurl40.com,folder40,folder50, in_stock,34, campaign30,adgroup28,117
